left,right,relation,base,specific,string_similarity,support_left,support_right,cooccurrence,jaccard,p_right_given_left,p_left_given_right
coconut milk,coconut oil,near_spelling,,,0.869565,1735,870,210,0.08768267,0.12103746,0.24137931
green bell pepper,red bell pepper,near_spelling,,,0.875,1301,2893,453,0.12109062,0.3481937,0.15658486
bay leaf,bay leaves,singular_plural_variant,,,0.777778,1227,1181,6,0.00249792,0.00488998,0.00508044
apple cider vinegar,cider vinegar,token_phrase_containment,cider vinegar,apple cider vinegar,0.8125,578,537,0,0.0,0.0,0.0
baby spinach,spinach,token_phrase_containment,spinach,baby spinach,0.736842,630,1122,3,0.00171527,0.0047619,0.0026738
basil,basil leaves,token_phrase_containment,basil,basil leaves,0.588235,2827,1356,65,0.01578436,0.02299257,0.0479351
bell pepper,green bell pepper,token_phrase_containment,bell pepper,green bell pepper,0.785714,699,1301,8,0.00401606,0.01144492,0.00614912
bell pepper,pepper,token_phrase_containment,pepper,bell pepper,0.705882,699,22147,295,0.01308146,0.42203147,0.01332009
bell pepper,red bell pepper,token_phrase_containment,bell pepper,red bell pepper,0.846154,699,2893,7,0.00195258,0.01001431,0.00241963
bread,french bread,token_phrase_containment,bread,french bread,0.588235,623,600,1,0.00081833,0.00160514,0.00166667
brown sugar,light brown sugar,token_phrase_containment,brown sugar,light brown sugar,0.785714,2788,751,7,0.00198188,0.00251076,0.00932091
brown sugar,sugar,token_phrase_containment,sugar,brown sugar,0.625,2788,9681,306,0.02515827,0.1097561,0.0316083
butter,peanut butter,token_phrase_containment,butter,peanut butter,0.631579,9765,499,32,0.00312744,0.00327701,0.06412826
canola oil,oil,token_phrase_containment,oil,canola oil,0.461538,1935,3310,13,0.00248471,0.00671835,0.00392749
cayenne,cayenne pepper,token_phrase_containment,cayenne,cayenne pepper,0.666667,598,1890,10,0.00403551,0.01672241,0.00529101
cayenne pepper,pepper,token_phrase_containment,pepper,cayenne pepper,0.6,1890,22147,815,0.03509603,0.43121693,0.03679957
chicken,chicken broth,token_phrase_containment,chicken,chicken broth,0.7,7796,1942,699,0.07733156,0.08966136,0.35993821
chicken,chicken stock,token_phrase_containment,chicken,chicken stock,0.7,7796,1705,604,0.06788805,0.07747563,0.3542522
chicken,low sodium chicken broth,token_phrase_containment,chicken,low sodium chicken broth,0.451613,7796,654,203,0.02461501,0.02603899,0.31039755
chicken broth,low sodium chicken broth,token_phrase_containment,chicken broth,low sodium chicken broth,0.702703,1942,654,1,0.00038536,0.00051493,0.00152905
cinnamon,cinnamon sticks,token_phrase_containment,cinnamon,cinnamon sticks,0.695652,1634,580,12,0.00544959,0.00734394,0.02068966
cinnamon,ground cinnamon,token_phrase_containment,cinnamon,ground cinnamon,0.695652,1634,1606,26,0.00808961,0.01591187,0.01618929
coarse salt,salt,token_phrase_containment,salt,coarse salt,0.533333,1126,34455,44,0.00123815,0.03907638,0.00127703
coconut milk,milk,token_phrase_containment,milk,coconut milk,0.5,1735,3433,20,0.003885,0.01152738,0.00582581
coconut oil,oil,token_phrase_containment,oil,coconut oil,0.428571,870,3310,4,0.00095785,0.0045977,0.00120846
cold water,water,token_phrase_containment,water,cold water,0.666667,513,8805,80,0.00865988,0.15594542,0.00908575
cooking oil,oil,token_phrase_containment,oil,cooking oil,0.428571,516,3310,35,0.00923239,0.06782946,0.01057402
coriander,coriander powder,token_phrase_containment,coriander,coriander powder,0.72,1151,666,74,0.04245554,0.06429192,0.11111111
coriander,coriander seeds,token_phrase_containment,coriander,coriander seeds,0.75,1151,625,61,0.03556851,0.05299739,0.0976
coriander,ground coriander,token_phrase_containment,coriander,ground coriander,0.72,1151,1319,84,0.03520536,0.07298002,0.06368461
corn,corn kernels,token_phrase_containment,corn,corn kernels,0.5,896,535,3,0.00210084,0.00334821,0.00560748
corn,corn starch,token_phrase_containment,corn,corn starch,0.533333,896,2573,24,0.00696662,0.02678571,0.00932763
corn,corn tortillas,token_phrase_containment,corn,corn tortillas,0.444444,896,1253,76,0.03666184,0.08482143,0.06065443
cumin,cumin seed,token_phrase_containment,cumin,cumin seed,0.666667,1942,1361,10,0.00303674,0.00514933,0.00734754
cumin,ground cumin,token_phrase_containment,cumin,ground cumin,0.588235,1942,4111,59,0.00984318,0.03038105,0.01435174
dark soy sauce,sauce,token_phrase_containment,sauce,dark soy sauce,0.526316,622,558,31,0.02697998,0.04983923,0.05555556
