value,occurrence_count,recipe_support,recipe_prevalence,occurrences_per_supporting_recipe,examples
salt,27129,27129,0.56559992,1.0,salt | salt | salt | salt | salt
garlic,20143,20143,0.41995205,1.0,garlic | garlic | garlic | garlic | garlic
pepper,15947,15947,0.33247159,1.0,pepper | pepper | pepper | pepper | pepper
olive oil,14016,14016,0.29221307,1.0,olive oil | olive oil | olive oil | olive oil | olive oil
onion,13424,13424,0.27987074,1.0,onion | onion | onion | onion | onion
cheese,12435,12435,0.25925154,1.0,cheese | cheese | cheese | cheese | cheese
sugar,11454,11454,0.23879912,1.0,sugar | sugar | sugar | sugar | sugar
cilantro,9352,9352,0.1949755,1.0,cilantro | cilantro | cilantro | cilantro | cilantro
egg,8841,8841,0.1843219,1.0,egg | egg | egg | egg | egg
water,7803,7803,0.16268112,1.0,water | water | water | water | water
butter,7770,7770,0.16199312,1.0,butter | butter | butter | butter | butter
green onion,6804,6804,0.14185343,1.0,green onion | green onion | green onion | green onion | green onion
ginger,6739,6739,0.14049828,1.0,ginger | ginger | ginger | ginger | ginger
chili,6726,6726,0.14022725,1.0,chili | chili | chili | chili | chili
flour,6071,6071,0.12657146,1.0,flour | flour | flour | flour | flour
tomato,5717,5717,0.11919108,1.0,tomato | tomato | tomato | tomato | tomato
soy sauce,5639,5639,0.11756489,1.0,soy sauce | soy sauce | soy sauce | soy sauce | soy sauce
chicken,5401,5401,0.11260294,1.0,chicken | chicken | chicken | chicken | chicken
cumin,4844,4844,0.10099031,1.0,cumin | cumin | cumin | cumin | cumin
vegetable oil,4157,4157,0.08666736,1.0,vegetable oil | vegetable oil | vegetable oil | vegetable oil | vegetable oil
parsley,4080,4080,0.08506202,1.0,parsley | parsley | parsley | parsley | parsley
lemon juice,3940,3940,0.08214323,1.0,lemon juice | lemon juice | lemon juice | lemon juice | lemon juice
milk,3900,3900,0.08130929,1.0,milk | milk | milk | milk | milk
carrot,3727,3727,0.07770249,1.0,carrot | carrot | carrot | carrot | carrot
chicken broth,3423,3423,0.07136454,1.0,chicken broth | chicken broth | chicken broth | chicken broth | chicken broth
yogurt,3414,3414,0.0711769,1.0,yogurt | yogurt | yogurt | yogurt | yogurt
basil,3280,3280,0.0683832,1.0,basil | basil | basil | basil | basil
oregano,3258,3258,0.06792453,1.0,oregano | oregano | oregano | oregano | oregano
lime juice,3053,3053,0.06365058,1.0,lime juice | lime juice | lime juice | lime juice | lime juice
red bell pepper,3044,3044,0.06346294,1.0,red bell pepper | red bell pepper | red bell pepper | red bell pepper | red bell pepper
oil,3019,3019,0.06294173,1.0,oil | oil | oil | oil | oil
red onion,3010,3010,0.06275409,1.0,red onion | red onion | red onion | red onion | red onion
sesame oil,2851,2851,0.05943917,1.0,sesame oil | sesame oil | sesame oil | sesame oil | sesame oil
cinnamon,2564,2564,0.05345564,1.0,cinnamon | cinnamon | cinnamon | cinnamon | cinnamon
turmeric,2548,2548,0.05312207,1.0,turmeric | turmeric | turmeric | turmeric | turmeric
lime,2517,2517,0.05247576,1.0,lime | lime | lime | lime | lime
honey,2361,2361,0.04922339,1.0,honey | honey | honey | honey | honey
thyme,2298,2298,0.04790993,1.0,thyme | thyme | thyme | thyme | thyme
tomato sauce,2197,2197,0.04580423,1.0,tomato sauce | tomato sauce | tomato sauce | tomato sauce | tomato sauce
garlic powder,2144,2144,0.04469926,1.0,garlic powder | garlic powder | garlic powder | garlic powder | garlic powder
corn starch,2061,2061,0.04296883,1.0,corn starch | corn starch | corn starch | corn starch | corn starch
shallots,2012,2012,0.04194725,1.0,shallots | shallots | shallots | shallots | shallots
cayenne pepper,1983,1983,0.04134265,1.0,cayenne pepper | cayenne pepper | cayenne pepper | cayenne pepper | cayenne pepper
avocado,1975,1975,0.04117586,1.0,avocado | avocado | avocado | avocado | avocado
sour cream,1936,1936,0.04036276,1.0,sour cream | sour cream | sour cream | sour cream | sour cream
bay leaf,1919,1919,0.04000834,1.0,bay leaf | bay leaf | bay leaf | bay leaf | bay leaf
vanilla extract,1908,1908,0.03977901,1.0,vanilla extract | vanilla extract | vanilla extract | vanilla extract | vanilla extract
panko breadcrumbs,1814,1814,0.03781924,1.0,panko breadcrumbs | panko breadcrumbs | panko breadcrumbs | panko breadcrumbs | panko breadcrumbs
beef,1802,1802,0.03756906,1.0,beef | beef | beef | beef | beef
lemon,1802,1802,0.03756906,1.0,lemon | lemon | lemon | lemon | lemon
garam masala,1744,1744,0.03635985,1.0,garam masala | garam masala | garam masala | garam masala | garam masala
fish sauce,1743,1743,0.036339,1.0,fish sauce | fish sauce | fish sauce | fish sauce | fish sauce
rice vinegar,1713,1713,0.03571354,1.0,rice vinegar | rice vinegar | rice vinegar | rice vinegar | rice vinegar
cooking spray,1620,1620,0.03377463,1.0,cooking spray | cooking spray | cooking spray | cooking spray | cooking spray
canola oil,1547,1547,0.03225268,1.0,canola oil | canola oil | canola oil | canola oil | canola oil
cucumber,1526,1526,0.03181487,1.0,cucumber | cucumber | cucumber | cucumber | cucumber
mayonnaise,1488,1488,0.03102262,1.0,mayonnaise | mayonnaise | mayonnaise | mayonnaise | mayonnaise
jalapeno chilies,1487,1487,0.03100177,1.0,jalapeno chilies | jalapeno chilies | jalapeno chilies | jalapeno chilies | jalapeno chilies
green bell pepper,1457,1457,0.03037632,1.0,green bell pepper | green bell pepper | green bell pepper | green bell pepper | green bell pepper
paprika,1423,1423,0.02966747,1.0,paprika | paprika | paprika | paprika | paprika
